Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi
0.0,10.58,0.186,0.801,5.394,4.722,0.119
0.2,10.58,0.189,0.7991,5.382,4.711,0.119
0.4,10.57,0.1974,0.7933,5.349,4.679,0.1191
0.6,10.55,0.2096,0.7832,5.299,4.634,0.1194
0.8,10.54,0.2238,0.7688,5.238,4.585,0.1205
1.0,10.52,0.2383,0.7501,5.171,4.543,0.1231
1.2,10.51,0.2518,0.727,5.103,4.518,0.1275
1.4,10.51,0.263,0.6994,5.036,4.513,0.134
1.6,10.52,0.2724,0.6676,4.97,4.526,0.1423
1.8,10.53,0.2815,0.632,4.901,4.551,0.1521
2.0,10.54,0.2928,0.5931,4.821,4.576,0.1629
2.2,10.54,0.3081,0.5513,4.726,4.592,0.1742
2.4,10.54,0.3283,0.5073,4.612,4.592,0.1855
2.6,10.53,0.3535,0.4614,4.48,4.572,0.1968
2.8,10.52,0.383,0.4135,4.332,4.539,0.2082
3.0,10.51,0.4151,0.364,4.172,4.498,0.22
3.2,10.5,0.448,0.313,4.007,4.46,0.2327
3.4,10.49,0.4796,0.2605,3.841,4.434,0.2464
3.6,10.48,0.5089,0.2068,3.68,4.422,0.2612
3.8,10.48,0.5358,0.1521,3.522,4.427,0.2769
4.0,10.49,0.5616,0.09686,3.366,4.442,0.2933
4.2,10.5,0.5877,0.04155,3.208,4.461,0.3104
4.4,10.5,0.6155,-0.01338,3.042,4.475,0.328
4.6,10.5,0.6462,-0.06745,2.866,4.477,0.3458
4.8,10.5,0.6807,-0.1203,2.677,4.464,0.3639
5.0,10.49,0.7187,-0.1717,2.477,4.438,0.3824
5.2,10.48,0.7591,-0.2217,2.268,4.403,0.4014
5.4,10.46,0.8,-0.27,2.056,4.367,0.4207
5.6,10.45,0.8397,-0.3166,1.847,4.338,0.4403
5.8,10.45,0.8774,-0.3614,1.642,4.321,0.4601
6.0,10.45,0.9125,-0.4043,1.444,4.317,0.4799
6.2,10.45,0.9451,-0.4449,1.253,4.324,0.4996
6.4,10.45,0.9761,-0.4831,1.066,4.336,0.5191
6.6,10.46,1.007,-0.5185,0.8795,4.346,0.5386
6.8,10.46,1.039,-0.5509,0.6894,4.349,0.5582
7.0,10.46,1.074,-0.5801,0.4935,4.341,0.578
7.2,10.45,1.11,-0.6061,0.2915,4.321,0.598
7.4,10.44,1.149,-0.6288,0.08572,4.293,0.6183
7.6,10.43,1.187,-0.6484,-0.1207,4.263,0.6386
7.8,10.42,1.225,-0.6648,-0.3238,4.236,0.6585
8.0,10.41,1.26,-0.6781,-0.5199,4.218,0.6778
8.2,10.41,1.292,-0.6883,-0.7064,4.211,0.6961
8.4,10.41,1.322,-0.6953,-0.8826,4.214,0.7134
8.6,10.42,1.348,-0.699,-1.05,4.225,0.7297
8.8,10.42,1.374,-0.6994,-1.211,4.237,0.7452
9.0,10.42,1.398,-0.6965,-1.369,4.246,0.7604
9.2,10.42,1.423,-0.6902,-1.526,4.248,0.7754
9.4,10.42,1.449,-0.6806,-1.683,4.241,0.7904
9.6,10.41,1.476,-0.6679,-1.84,4.227,0.8053
9.8,10.4,1.502,-0.6524,-1.994,4.209,0.82
10.0,10.4,1.528,-0.6341,-2.144,4.194,0.8341
10.2,10.39,1.551,-0.6131,-2.285,4.184,0.847
10.4,10.39,1.572,-0.5897,-2.415,4.184,0.8585
10.6,10.39,1.589,-0.5639,-2.533,4.193,0.8684
10.8,10.39,1.604,-0.5359,-2.639,4.209,0.8768
11.0,10.4,1.615,-0.5056,-2.735,4.23,0.8839
11.2,10.4,1.625,-0.4732,-2.822,4.249,0.8902
11.4,10.41,1.635,-0.4389,-2.904,4.264,0.896
11.6,10.41,1.643,-0.4028,-2.981,4.273,0.9015
11.8,10.4,1.652,-0.3651,-3.055,4.275,0.9068
12.0,10.4,1.661,-0.3261,-3.124,4.274,0.9116
12.2,10.4,1.669,-0.286,-3.187,4.272,0.9158
12.4,10.39,1.675,-0.245,-3.242,4.275,0.9188
12.6,10.39,1.678,-0.2034,-3.286,4.284,0.9204
12.8,10.4,1.679,-0.1614,-3.318,4.301,0.9202
13.0,10.4,1.676,-0.1191,-3.337,4.324,0.9185
13.2,10.41,1.671,-0.07679,-3.345,4.351,0.9152
13.4,10.41,1.663,-0.03456,-3.342,4.378,0.9108
13.6,10.42,1.654,0.007361,-3.332,4.403,0.9055
13.8,10.42,1.644,0.04877,-3.315,4.423,0.8997
14.0,10.42,1.634,0.08947,-3.293,4.438,0.8934
14.2,10.42,1.623,0.1292,-3.266,4.449,0.8866
14.4,10.42,1.612,0.1677,-3.234,4.459,0.8792
14.6,10.42,1.599,0.2048,-3.196,4.471,0.8708
14.8,10.42,1.585,0.2402,-3.149,4.488,0.8613
15.0,10.43,1.568,0.2738,-3.092,4.509,0.8503
15.2,10.43,1.549,0.3054,-3.025,4.536,0.8379
15.4,10.44,1.527,0.3348,-2.947,4.566,0.8242
15.6,10.44,1.503,0.362,-2.86,4.598,0.8093
15.8,10.45,1.478,0.3868,-2.766,4.628,0.7936
16.0,10.45,1.451,0.4091,-2.665,4.656,0.7772
16.2,10.46,1.424,0.4288,-2.56,4.679,0.7603
16.4,10.46,1.396,0.4459,-2.452,4.699,0.7431
16.6,10.46,1.369,0.4602,-2.34,4.717,0.7255
16.8,10.46,1.341,0.4716,-2.225,4.735,0.7073
17.0,10.46,1.311,0.4801,-2.104,4.756,0.6884
17.2,10.47,1.281,0.4856,-1.979,4.78,0.6687
17.4,10.47,1.249,0.4881,-1.846,4.808,0.6481
17.6,10.48,1.215,0.4877,-1.707,4.838,0.6266
17.8,10.48,1.18,0.4844,-1.562,4.87,0.6044
18.0,10.49,1.144,0.4784,-1.412,4.9,0.5815
18.2,10.5,1.107,0.4696,-1.258,4.928,0.5582
18.4,10.5,1.069,0.4582,-1.103,4.952,0.5346
18.6,10.5,1.032,0.4442,-0.9471,4.972,0.5109
18.8,10.5,0.9953,0.4278,-0.7912,4.991,0.487
19.0,10.51,0.9589,0.409,-0.6356,5.007,0.463
19.2,10.51,0.9226,0.3879,-0.48,5.025,0.4388
19.4,10.51,0.8862,0.3645,-0.3236,5.043,0.4145
19.6,10.51,0.8493,0.3392,-0.166,5.063,0.3899
19.8,10.52,0.8119,0.3119,-0.006789,5.085,0.3651
20.0,10.52,0.7739,0.283,0.154,5.106,0.34
20.2,10.53,0.7355,0.2525,0.3157,5.127,0.3148
20.4,10.53,0.697,0.2208,0.4775,5.145,0.2894
20.6,10.53,0.6587,0.1879,0.6379,5.159,0.264
20.8,10.53,0.6211,0.1542,0.7958,5.171,0.2387
21.0,10.53,0.5843,0.1197,0.9503,5.179,0.2136
21.2,10.53,0.5486,0.08453,1.101,5.186,0.1889
21.4,10.53,0.5139,0.04899,1.247,5.191,0.1645
21.6,10.53,0.48,0.01318,1.39,5.197,0.1405
21.8,10.53,0.4468,-0.02274,1.529,5.203,0.1169
22.0,10.54,0.4139,-0.05857,1.665,5.209,0.09355
22.2,10.54,0.3813,-0.09411,1.799,5.216,0.07047
22.4,10.54,0.349,-0.1292,1.931,5.222,0.04765
22.6,10.54,0.3171,-0.1636,2.059,5.225,0.02509
22.8,10.54,0.2857,-0.1972,2.184,5.227,0.002856
23.0,10.54,0.2553,-0.2298,2.304,5.225,-0.01897
23.2,10.54,0.2262,-0.2612,2.418,5.221,-0.04027
23.4,10.54,0.1985,-0.2913,2.526,5.214,-0.06094
23.6,10.53,0.1723,-0.32,2.627,5.207,-0.08092
23.8,10.53,0.1475,-0.3472,2.721,5.199,-0.1002
24.0,10.53,0.124,-0.3728,2.809,5.192,-0.1186
24.2,10.53,0.1016,-0.3966,2.892,5.184,-0.1364
24.4,10.53,0.08002,-0.4186,2.969,5.177,-0.1535
24.6,10.53,0.05919,-0.4387,3.041,5.169,-0.17
24.8,10.52,0.03912,-0.4567,3.108,5.16,-0.186
25.0,10.52,0.01991,-0.4725,3.17,5.149,-0.2013
25.2,10.52,0.001742,-0.4862,3.226,5.136,-0.2161
25.4,10.52,-0.01514,-0.4976,3.276,5.122,-0.2302
25.6,10.51,-0.03049,-0.5067,3.318,5.105,-0.2435
25.8,10.51,-0.04419,-0.5134,3.352,5.088,-0.256
26.0,10.51,-0.05623,-0.5177,3.379,5.071,-0.2676
26.2,10.5,-0.0667,-0.5197,3.398,5.053,-0.2782
26.4,10.5,-0.07572,-0.5193,3.41,5.036,-0.288
26.6,10.5,-0.0835,-0.5166,3.414,5.019,-0.2969
26.8,10.5,-0.09026,-0.5114,3.413,5.001,-0.3051
27.0,10.49,-0.09613,-0.504,3.406,4.983,-0.3126
27.2,10.49,-0.1011,-0.4942,3.394,4.964,-0.3194
27.4,10.49,-0.1051,-0.4822,3.375,4.945,-0.3256
27.6,10.48,-0.1079,-0.4681,3.351,4.924,-0.3311
27.8,10.48,-0.1095,-0.4518,3.319,4.902,-0.3358
28.0,10.48,-0.1096,-0.4336,3.281,4.879,-0.3398
28.2,10.47,-0.1082,-0.4135,3.235,4.856,-0.343
28.4,10.47,-0.1052,-0.3917,3.182,4.834,-0.3453
28.6,10.47,-0.1009,-0.3682,3.123,4.812,-0.3467
28.8,10.46,-0.09536,-0.3433,3.057,4.79,-0.3474
29.0,10.46,-0.08886,-0.3172,2.986,4.769,-0.3474
29.2,10.46,-0.08161,-0.2898,2.909,4.748,-0.3467
29.4,10.45,-0.07374,-0.2615,2.829,4.728,-0.3455
29.6,10.45,-0.06528,-0.2324,2.745,4.707,-0.3438
29.8,10.45,-0.05613,-0.2026,2.656,4.685,-0.3416
30.0,10.44,-0.04618,-0.1723,2.564,4.664,-0.3388
30.2,10.44,-0.03533,-0.1417,2.466,4.643,-0.3354
30.4,10.44,-0.02349,-0.111,2.364,4.622,-0.3315
30.6,10.44,-0.01061,-0.08035,2.258,4.602,-0.327
30.8,10.43,0.003229,-0.0499,2.147,4.583,-0.3218
31.0,10.43,0.01784,-0.01983,2.032,4.565,-0.3161
31.2,10.43,0.03301,0.009695,1.914,4.547,-0.31
31.4,10.43,0.04858,0.03853,1.794,4.531,-0.3034
31.6,10.43,0.06436,0.06651,1.671,4.515,-0.2966
31.8,10.42,0.08022,0.0935,1.548,4.499,-0.2894
32.0,10.42,0.09611,0.1194,1.424,4.485,-0.282
32.2,10.42,0.1121,0.144,1.298,4.47,-0.2744
32.4,10.42,0.1283,0.1672,1.172,4.457,-0.2665
32.6,10.42,0.1448,0.1889,1.044,4.444,-0.2583
32.8,10.42,0.1616,0.2091,0.9149,4.432,-0.2499
33.0,10.42,0.1788,0.2276,0.7846,4.421,-0.2413
33.2,10.42,0.1962,0.2443,0.6533,4.411,-0.2324
33.4,10.42,0.2138,0.2592,0.5217,4.402,-0.2234
33.6,10.42,0.2312,0.2721,0.3905,4.394,-0.2143
33.8,10.42,0.2483,0.2832,0.2603,4.387,-0.2051
34.0,10.42,0.2651,0.2923,0.1317,4.38,-0.196
34.2,10.42,0.2812,0.2994,0.005136,4.375,-0.1869
34.4,10.42,0.2968,0.3045,-0.1191,4.37,-0.1779
34.6,10.42,0.3119,0.3076,-0.2412,4.366,-0.1691
34.8,10.42,0.3267,0.3087,-0.3613,4.362,-0.1603
35.0,10.42,0.3411,0.3077,-0.4795,4.36,-0.1516
35.2,10.42,0.3553,0.3048,-0.5959,4.358,-0.143
35.4,10.43,0.3691,0.2999,-0.7102,4.356,-0.1345
35.6,10.43,0.3827,0.2931,-0.8223,4.356,-0.1261
35.8,10.43,0.3956,0.2845,-0.9314,4.357,-0.1179
36.0,10.43,0.4079,0.2741,-1.037,4.358,-0.11
36.2,10.43,0.4192,0.262,-1.139,4.359,-0.1024
36.4,10.44,0.4296,0.2482,-1.236,4.362,-0.09506
36.6,10.44,0.439,0.2329,-1.328,4.365,-0.08812
36.8,10.44,0.4474,0.2161,-1.416,4.368,-0.08158
37.0,10.44,0.4549,0.198,-1.499,4.373,-0.0754
37.2,10.45,0.4615,0.1786,-1.577,4.377,-0.06958
37.4,10.45,0.4674,0.158,-1.651,4.383,-0.06412
37.6,10.45,0.4725,0.1363,-1.721,4.389,-0.05901
37.8,10.46,0.4769,0.1138,-1.787,4.396,-0.05425
38.0,10.46,0.4804,0.09036,-1.847,4.403,-0.04988
38.2,10.46,0.483,0.06626,-1.903,4.411,-0.04593
38.4,10.47,0.4845,0.04157,-1.953,4.419,-0.04244
38.6,10.47,0.4848,0.01644,-1.998,4.428,-0.03945
38.8,10.47,0.4839,-0.008998,-2.036,4.437,-0.03699
39.0,10.48,0.4817,-0.03463,-2.068,4.447,-0.03505
39.2,10.48,0.4782,-0.06033,-2.094,4.457,-0.03364
39.4,10.48,0.4736,-0.08597,-2.114,4.468,-0.03273
39.6,10.49,0.468,-0.1114,-2.128,4.48,-0.0323
39.8,10.49,0.4615,-0.1365,-2.137,4.492,-0.03232
40.0,10.5,0.4541,-0.1612,-2.142,4.504,-0.03279
40.2,10.5,0.4458,-0.1853,-2.14,4.516,-0.03372
40.4,10.51,0.4365,-0.2087,-2.134,4.529,-0.0351
40.6,10.51,0.4262,-0.2312,-2.122,4.542,-0.03696
40.8,10.52,0.4147,-0.2529,-2.104,4.555,-0.03933
41.0,10.52,0.4021,-0.2734,-2.081,4.569,-0.04221
41.2,10.52,0.3881,-0.2928,-2.051,4.582,-0.0456
41.4,10.53,0.3731,-0.311,-2.015,4.596,-0.0495
41.6,10.53,0.3569,-0.3278,-1.974,4.611,-0.05388
41.8,10.54,0.3398,-0.3432,-1.928,4.625,-0.05872
42.0,10.54,0.3219,-0.357,-1.876,4.64,-0.06398
42.2,10.55,0.3031,-0.3693,-1.821,4.654,-0.06962
42.4,10.55,0.2837,-0.3799,-1.761,4.669,-0.07562
42.6,10.56,0.2635,-0.3888,-1.696,4.683,-0.08196
42.8,10.56,0.2425,-0.396,-1.628,4.697,-0.08864
43.0,10.57,0.2208,-0.4013,-1.555,4.711,-0.09567
43.2,10.57,0.1981,-0.405,-1.478,4.725,-0.103
43.4,10.58,0.1746,-0.4068,-1.396,4.739,-0.1108
43.6,10.58,0.1503,-0.4068,-1.31,4.753,-0.1189
43.8,10.59,0.1252,-0.405,-1.221,4.767,-0.1273
44.0,10.59,0.09944,-0.4015,-1.127,4.781,-0.1359
44.2,10.59,0.07316,-0.3962,-1.031,4.795,-0.1448
44.4,10.6,0.04645,-0.3893,-0.9323,4.808,-0.1539
44.6,10.6,0.01945,-0.3808,-0.8312,4.821,-0.1632
44.8,10.61,-0.00779,-0.3706,-0.7283,4.834,-0.1725
45.0,10.61,-0.03529,-0.359,-0.6236,4.847,-0.1819
45.2,10.62,-0.06307,-0.346,-0.5172,4.859,-0.1915
45.4,10.62,-0.09115,-0.3316,-0.4091,4.871,-0.2011
45.6,10.63,-0.1195,-0.316,-0.2995,4.883,-0.2108
45.8,10.63,-0.1482,-0.2992,-0.1884,4.894,-0.2206
46.0,10.63,-0.1771,-0.2814,-0.07607,4.906,-0.2304
46.2,10.64,-0.2061,-0.2627,0.037,4.917,-0.2402
46.4,10.64,-0.2351,-0.2431,0.1503,4.928,-0.25
46.6,10.65,-0.264,-0.2228,0.2636,4.939,-0.2596
46.8,10.65,-0.2928,-0.202,0.3763,4.949,-0.2692
47.0,10.65,-0.3212,-0.1806,0.4881,4.959,-0.2786
47.2,10.66,-0.3493,-0.1588,0.5988,4.968,-0.2878
47.4,10.66,-0.377,-0.1368,0.7082,4.977,-0.2969
47.6,10.67,-0.4045,-0.1147,0.8164,4.986,-0.3057
47.8,10.67,-0.4317,-0.09254,0.9232,4.994,-0.3142
48.0,10.67,-0.4586,-0.07047,1.028,5.001,-0.3226
48.2,10.68,-0.4851,-0.04861,1.132,5.009,-0.3306
48.4,10.68,-0.5113,-0.02708,1.234,5.016,-0.3384
48.6,10.68,-0.537,-0.00596,1.334,5.022,-0.3459
48.8,10.69,-0.5622,0.01464,1.431,5.029,-0.3531
49.0,10.69,-0.5866,0.03462,1.525,5.034,-0.3598
49.2,10.69,-0.6104,0.05389,1.616,5.04,-0.3662
49.4,10.69,-0.6335,0.07237,1.703,5.044,-0.3721
49.6,10.7,-0.6557,0.08997,1.787,5.048,-0.3775
49.8,10.7,-0.6771,0.1066,1.868,5.051,-0.3825
50.0,10.7,-0.6978,0.1222,1.944,5.054,-0.387
50.2,10.7,-0.7178,0.1366,2.017,5.056,-0.391
50.4,10.71,-0.737,0.15,2.087,5.058,-0.3946
50.6,10.71,-0.7555,0.162,2.152,5.059,-0.3976
50.8,10.71,-0.7733,0.1728,2.214,5.06,-0.4001
51.0,10.71,-0.7902,0.1823,2.272,5.06,-0.4021
51.2,10.72,-0.8061,0.1904,2.325,5.06,-0.4035
51.4,10.72,-0.8211,0.1971,2.374,5.059,-0.4044
51.6,10.72,-0.835,0.2024,2.418,5.057,-0.4046
51.8,10.72,-0.848,0.2063,2.457,5.054,-0.4043
52.0,10.72,-0.8599,0.2087,2.491,5.051,-0.4033
52.2,10.72,-0.8708,0.2097,2.52,5.047,-0.4018
52.4,10.72,-0.8807,0.2092,2.545,5.043,-0.3996
52.6,10.72,-0.8897,0.2072,2.565,5.038,-0.3968
52.8,10.73,-0.8979,0.2038,2.58,5.032,-0.3935
53.0,10.73,-0.905,0.199,2.59,5.026,-0.3895
53.2,10.73,-0.9112,0.1928,2.596,5.02,-0.385
53.4,10.73,-0.9164,0.1853,2.597,5.012,-0.3798
53.6,10.73,-0.9206,0.1764,2.593,5.005,-0.374
53.8,10.73,-0.9237,0.1663,2.584,4.996,-0.3677
54.0,10.73,-0.9258,0.1549,2.569,4.988,-0.3607
54.2,10.73,-0.9268,0.1425,2.55,4.978,-0.3531
54.4,10.73,-0.9268,0.129,2.526,4.968,-0.3449
54.6,10.73,-0.9257,0.1144,2.497,4.957,-0.3361
54.8,10.73,-0.9238,0.09901,2.463,4.946,-0.3268
55.0,10.73,-0.921,0.08276,2.425,4.934,-0.3169
55.2,10.73,-0.9173,0.06578,2.383,4.922,-0.3066
55.4,10.72,-0.9128,0.04818,2.336,4.91,-0.2956
55.6,10.72,-0.9075,0.03005,2.286,4.897,-0.2842
55.8,10.72,-0.9013,0.01149,2.231,4.884,-0.2723
56.0,10.72,-0.8943,-0.00738,2.172,4.871,-0.2599
56.2,10.72,-0.8864,-0.02646,2.11,4.857,-0.247
56.4,10.72,-0.8776,-0.04566,2.043,4.842,-0.2337
56.6,10.72,-0.8681,-0.06487,1.973,4.827,-0.22
56.8,10.72,-0.8579,-0.08398,1.899,4.812,-0.2058
57.0,10.71,-0.847,-0.1029,1.822,4.797,-0.1912
57.2,10.71,-0.8355,-0.1215,1.743,4.781,-0.1763
57.4,10.71,-0.8235,-0.1397,1.661,4.765,-0.1611
57.6,10.71,-0.811,-0.1575,1.576,4.749,-0.1455
57.8,10.71,-0.798,-0.1746,1.489,4.733,-0.1296
58.0,10.71,-0.7845,-0.1911,1.4,4.717,-0.1135
58.2,10.7,-0.7705,-0.2069,1.309,4.7,-0.09718
58.4,10.7,-0.7562,-0.2218,1.217,4.684,-0.08061
58.6,10.7,-0.7414,-0.2358,1.122,4.667,-0.06382
58.8,10.7,-0.7262,-0.2489,1.026,4.65,-0.04685
59.0,10.7,-0.7108,-0.2609,0.9292,4.633,-0.02972
59.2,10.69,-0.6952,-0.2719,0.8313,4.617,-0.01246
59.4,10.69,-0.6793,-0.2818,0.7328,4.6,0.004878
59.6,10.69,-0.6634,-0.2905,0.634,4.584,0.02228
59.8,10.69,-0.6474,-0.298,0.535,4.567,0.0397
60.0,10.69,-0.6313,-0.3043,0.4361,4.551,0.05712
60.2,10.68,-0.6153,-0.3093,0.3376,4.536,0.07452
60.4,10.68,-0.5993,-0.313,0.2396,4.52,0.09188
60.6,10.68,-0.5833,-0.3155,0.1422,4.505,0.1092
60.8,10.68,-0.5674,-0.3167,0.04569,4.491,0.1264
61.0,10.68,-0.5517,-0.3166,-0.04978,4.476,0.1435
61.2,10.68,-0.5361,-0.3153,-0.1441,4.462,0.1605
61.4,10.67,-0.5207,-0.3127,-0.237,4.449,0.1773
61.6,10.67,-0.5055,-0.3089,-0.3282,4.436,0.1939
61.8,10.67,-0.4907,-0.3038,-0.4174,4.423,0.2103
62.0,10.67,-0.4762,-0.2976,-0.5045,4.412,0.2264
62.2,10.67,-0.4621,-0.2903,-0.5891,4.401,0.2423
62.4,10.67,-0.4486,-0.2818,-0.6712,4.391,0.2579
62.6,10.67,-0.4354,-0.2724,-0.7504,4.382,0.2731
62.8,10.67,-0.4228,-0.2619,-0.8269,4.373,0.2881
63.0,10.66,-0.4106,-0.2505,-0.9006,4.365,0.3027
63.2,10.66,-0.3989,-0.2382,-0.9711,4.358,0.3169
63.4,10.66,-0.3877,-0.225,-1.039,4.351,0.3307
63.6,10.66,-0.3771,-0.2112,-1.103,4.346,0.3442
63.8,10.66,-0.3671,-0.1966,-1.163,4.341,0.3572
64.0,10.66,-0.3577,-0.1815,-1.22,4.337,0.3698
64.2,10.66,-0.349,-0.1659,-1.273,4.335,0.3819
64.4,10.66,-0.341,-0.1498,-1.322,4.333,0.3936
64.6,10.66,-0.3337,-0.1333,-1.367,4.332,0.4048
64.8,10.66,-0.3272,-0.1165,-1.408,4.331,0.4155
65.0,10.66,-0.3213,-0.0996,-1.445,4.332,0.4257
65.2,10.66,-0.3162,-0.08253,-1.478,4.334,0.4354
65.4,10.67,-0.3118,-0.06544,-1.506,4.336,0.4445
65.6,10.67,-0.3081,-0.0484,-1.53,4.339,0.4532
65.8,10.67,-0.3052,-0.0315,-1.55,4.344,0.4613
66.0,10.67,-0.3031,-0.01483,-1.565,4.349,0.4689
66.2,10.67,-0.3016,0.001538,-1.577,4.354,0.476
66.4,10.67,-0.301,0.0175,-1.583,4.361,0.4825
66.6,10.67,-0.3011,0.03299,-1.586,4.368,0.4884
66.8,10.68,-0.302,0.04793,-1.584,4.376,0.4939
67.0,10.68,-0.3037,0.06224,-1.577,4.386,0.4987
67.2,10.68,-0.3061,0.07584,-1.566,4.396,0.503
67.4,10.68,-0.3093,0.08867,-1.551,4.406,0.5068
67.6,10.68,-0.3133,0.1007,-1.531,4.417,0.5101
67.8,10.69,-0.3179,0.1117,-1.507,4.429,0.5128
68.0,10.69,-0.3232,0.1219,-1.48,4.442,0.515
68.2,10.69,-0.3293,0.1309,-1.448,4.455,0.5167
68.4,10.69,-0.336,0.139,-1.412,4.469,0.5179
68.6,10.7,-0.3433,0.1459,-1.372,4.484,0.5185
68.8,10.7,-0.3513,0.1517,-1.329,4.499,0.5187
69.0,10.7,-0.36,0.1563,-1.281,4.515,0.5184
69.2,10.71,-0.3693,0.1597,-1.23,4.531,0.5177
69.4,10.71,-0.3791,0.162,-1.176,4.547,0.5164
69.6,10.71,-0.3895,0.163,-1.118,4.564,0.5148
69.8,10.72,-0.4004,0.1628,-1.057,4.582,0.5127
70.0,10.72,-0.4119,0.1614,-0.9929,4.599,0.5102
70.2,10.72,-0.4237,0.1588,-0.9261,4.617,0.5073
70.4,10.73,-0.4359,0.1551,-0.8568,4.636,0.504
70.6,10.73,-0.4486,0.1502,-0.7848,4.654,0.5004
70.8,10.73,-0.4616,0.1442,-0.7106,4.673,0.4964
71.0,10.74,-0.4749,0.1372,-0.6341,4.691,0.4921
71.2,10.74,-0.4886,0.1291,-0.5558,4.71,0.4875
71.4,10.74,-0.5024,0.12,-0.4757,4.728,0.4826
71.6,10.74,-0.5165,0.11,-0.3939,4.747,0.4774
71.8,10.75,-0.5308,0.09912,-0.3107,4.765,0.472
72.0,10.75,-0.5451,0.08746,-0.2264,4.783,0.4663
72.2,10.75,-0.5596,0.07505,-0.1411,4.801,0.4604
72.4,10.76,-0.5742,0.06198,-0.05497,4.819,0.4543
72.6,10.76,-0.5887,0.04831,0.03173,4.836,0.4481
72.8,10.76,-0.6033,0.03413,0.1187,4.853,0.4417
73.0,10.76,-0.6177,0.01949,0.2058,4.869,0.4352
73.2,10.77,-0.632,0.004477,0.293,4.885,0.4286
73.4,10.77,-0.6462,-0.01081,0.3799,4.901,0.4219
73.6,10.77,-0.6603,-0.02631,0.4664,4.916,0.4151
73.8,10.77,-0.6741,-0.04193,0.5523,4.93,0.4083
74.0,10.78,-0.6877,-0.0576,0.6375,4.944,0.4014
74.2,10.78,-0.7011,-0.07323,0.7218,4.957,0.3945
74.4,10.78,-0.7141,-0.08873,0.8049,4.97,0.3877
74.6,10.78,-0.7267,-0.104,0.8866,4.981,0.3809
74.8,10.78,-0.739,-0.1191,0.9669,4.992,0.3741
75.0,10.78,-0.7508,-0.1338,1.045,5.003,0.3674
75.2,10.78,-0.7622,-0.1481,1.122,5.012,0.3608
75.4,10.78,-0.7731,-0.1619,1.197,5.021,0.3543
75.6,10.78,-0.7836,-0.1751,1.269,5.029,0.3479
75.8,10.78,-0.7935,-0.1877,1.34,5.037,0.3417
76.0,10.78,-0.8028,-0.1996,1.408,5.043,0.3356
76.2,10.78,-0.8116,-0.2108,1.473,5.049,0.3297
76.4,10.78,-0.8197,-0.2212,1.536,5.053,0.324
76.6,10.78,-0.8273,-0.2308,1.596,5.057,0.3185
76.8,10.78,-0.8342,-0.2395,1.653,5.06,0.3132
77.0,10.78,-0.8403,-0.2472,1.706,5.063,0.3081
77.2,10.78,-0.8458,-0.254,1.757,5.064,0.3032
77.4,10.78,-0.8507,-0.2598,1.805,5.065,0.2986
77.6,10.78,-0.8547,-0.2646,1.849,5.065,0.2943
77.8,10.78,-0.8581,-0.2684,1.89,5.064,0.2903
78.0,10.78,-0.8606,-0.2711,1.927,5.062,0.2865
78.2,10.77,-0.8624,-0.2727,1.96,5.059,0.283
78.4,10.77,-0.8634,-0.2733,1.99,5.056,0.2798
78.6,10.77,-0.8637,-0.2728,2.017,5.052,0.2769
78.8,10.77,-0.8631,-0.2712,2.039,5.047,0.2743
79.0,10.77,-0.8617,-0.2686,2.058,5.042,0.272
79.2,10.76,-0.8596,-0.2649,2.073,5.035,0.27
79.4,10.76,-0.8566,-0.2602,2.084,5.028,0.2683
79.6,10.76,-0.8527,-0.2545,2.092,5.02,0.267
79.8,10.75,-0.8481,-0.2478,2.095,5.011,0.2659
80.0,10.75,-0.8426,-0.2402,2.094,5.002,0.2652
80.2,10.75,-0.8363,-0.2317,2.09,4.992,0.2648
80.4,10.74,-0.8292,-0.2224,2.082,4.982,0.2647
80.6,10.74,-0.8213,-0.2122,2.07,4.971,0.265
80.8,10.74,-0.8126,-0.2013,2.054,4.959,0.2655
81.0,10.73,-0.8031,-0.1898,2.034,4.947,0.2663
81.2,10.73,-0.7928,-0.1776,2.011,4.934,0.2675
81.4,10.72,-0.7818,-0.1649,1.984,4.921,0.2689
81.6,10.72,-0.77,-0.1517,1.954,4.908,0.2706
81.8,10.72,-0.7575,-0.1381,1.92,4.894,0.2726
82.0,10.71,-0.7443,-0.1242,1.882,4.88,0.2748
82.2,10.71,-0.7304,-0.11,1.842,4.865,0.2773
82.4,10.7,-0.7158,-0.0957,1.798,4.85,0.2801
82.6,10.7,-0.7006,-0.0813,1.752,4.835,0.283
82.8,10.69,-0.6847,-0.06689,1.702,4.82,0.2863
83.0,10.69,-0.6683,-0.05257,1.649,4.804,0.2897
83.2,10.68,-0.6513,-0.0384,1.594,4.788,0.2933
83.4,10.68,-0.6337,-0.02445,1.536,4.773,0.2971
83.6,10.67,-0.6156,-0.01082,1.476,4.757,0.301
83.8,10.67,-0.597,0.002425,1.414,4.742,0.3052
84.0,10.67,-0.578,0.01522,1.349,4.726,0.3094
84.2,10.66,-0.5585,0.0275,1.283,4.711,0.3138
84.4,10.66,-0.5386,0.0392,1.215,4.695,0.3183
84.6,10.65,-0.5184,0.05025,1.145,4.68,0.3229
84.8,10.65,-0.4978,0.0606,1.073,4.664,0.3276
